study,technique,analysis_level,gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,padj_BH
GSE250136,pseudobulk_deseq2,sample_barcode,Gm15873,0.25287733026759673,-0.4360778331382263,1.4980347668722211,-0.29109994159129066,0.7709748845966328,NA,0.9939750250947177
GSE250136,pseudobulk_deseq2,sample_barcode,Syt5,4.082053949116435,0.023695362940532285,0.3892895654904017,0.06086822006308441,0.9514641592150149,0.9900362312357235,0.9939750250947177
GSE250136,pseudobulk_deseq2,sample_barcode,Tmem86b,6.871213278199923,-0.14114222433117415,0.27197386602929935,-0.5189550981194977,0.6037920538163971,0.9185409357410297,0.9939750250947177
GSE250136,pseudobulk_deseq2,sample_barcode,Ppp6r1,175.37410358949916,-0.030981485543573356,0.058077981213241356,-0.5334463233117649,0.5937246583202243,0.9157484094606091,0.9939750250947177
GSE250136,pseudobulk_deseq2,sample_barcode,Hspbp1,248.13188119863335,0.06514264222043668,0.045893329295497026,1.4194359664124077,0.15577195293753326,0.6597754833103292,0.8077982710093672
GSE250136,pseudobulk_deseq2,sample_barcode,Brsk1,14.459941299056332,-0.22536304114706848,0.20070402988585906,-1.1228625617294934,0.26149586994590385,0.757992827829527,0.8963881645036494
GSE250136,pseudobulk_deseq2,sample_barcode,Tmem150b,0.2663459598139165,1.1303991984895234,1.4777473583727516,0.7649475345598202,0.4443027868602799,NA,0.9772408653873077
GSE250136,pseudobulk_deseq2,sample_barcode,Kmt5c,123.95545731686263,0.046772496281465355,0.06631186686371845,0.7053412683674003,0.4805978842210875,0.8781059636985834,0.9809027079137834
GSE250136,pseudobulk_deseq2,sample_barcode,Cox6b2,464.6277981860106,0.0654895839695611,0.060976119989105224,1.074020189891753,0.28281363266247167,0.7757602735401974,0.9099382089505731
GSE250136,pseudobulk_deseq2,sample_barcode,Il11,0.9281011512040183,0.0650724431044905,0.7148499149152514,0.09102951787048211,0.9274691365507665,NA,0.9939750250947177
